server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,11,7839.0,256.28,2059,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,12,7879.9,220.63,2058,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,13,7401.8,254.54,2058,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,14,7917.5,257.93,2058,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,0,7571.6,224.89,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,1,7552.6,249.34,4108,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,2,7801.0,250.63,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,3,7786.2,252.8,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,4,7801.8,239.38,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,5,7787.9,252.72,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,6,7786.5,234.02,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,7,7509.8,221.9,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,8,7796.0,239.99,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,9,7777.0,238.86,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,10,7766.9,253.57,4107,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,11,7793.3,252.33,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,12,7782.6,238.38,4105,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,13,7768.6,219.42,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,14,7567.8,219.25,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,0,7361.7,246.17,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,1,7624.5,247.37,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,2,7523.2,249.27,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,3,7787.4,218.71,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,4,7597.2,247.55,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,5,7557.4,248.56,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,6,7626.6,246.89,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,7,7786.1,220.13,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,8,7582.2,247.62,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,9,7818.2,225.77,4105,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,10,7616.5,247.4,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,11,7840.8,224.79,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,12,7525.9,247.35,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,13,7815.6,221.1,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,14,7525.4,247.29,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,0,7189.9,245.29,8201,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,1,7253.1,245.17,8203,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,2,7264.1,232.27,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,3,7258.5,245.12,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,4,7205.4,213.78,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,5,7267.0,245.74,8201,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,6,7249.3,233.3,8203,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,7,7261.3,227.5,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,8,7254.2,245.44,8203,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,9,7260.2,229.59,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,10,7257.8,245.46,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,11,7255.3,244.11,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,12,7146.5,214.2,8203,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,13,7252.1,229.79,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,14,7244.8,235.73,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,0,7080.9,238.38,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,1,7263.8,223.53,8201,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,2,7246.0,242.77,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,3,7242.8,243.33,8203,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,4,7166.1,239.33,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,5,7274.8,227.39,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,6,7251.9,242.78,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,7,7240.7,243.53,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,8,7250.5,210.7,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,9,7245.3,243.59,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,10,7241.9,243.91,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,11,7157.7,239.32,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,12,7243.8,243.36,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,13,7155.0,225.91,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,14,7260.8,242.88,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,0,5824.0,175.98,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,1,7661.0,246.44,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,2,7665.5,255.0,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,3,7713.5,255.9,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,4,7677.5,246.44,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,5,7678.6,244.8,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,6,7671.2,248.41,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,7,7694.6,249.3,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,8,7661.5,246.17,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,9,7662.7,247.95,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,10,7769.2,251.59,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,11,7661.5,245.79,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,12,7657.6,251.51,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,13,7599.7,248.41,1035,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,14,7661.5,250.12,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,0,6745.4,236.58,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,1,7693.5,247.93,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,2,7732.6,248.71,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,3,7680.9,246.52,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,4,7682.6,244.74,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,5,7682.6,244.52,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,6,7694.6,244.54,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,7,7691.7,250.47,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,8,7613.7,244.45,1035,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,9,7675.7,247.03,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,10,7707.8,244.7,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,11,7704.9,244.52,1034,64,,
