server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,11,27967.4,370.63,2057,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,12,28401.9,369.98,2058,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,13,28462.8,369.71,2059,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,14,28398.0,371.04,2058,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,0,27608.9,343.38,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,1,30687.6,363.51,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,2,32318.0,361.7,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,3,32330.7,363.68,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,4,32538.2,363.84,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,5,32471.3,363.39,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,6,32450.8,363.64,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,7,32515.0,363.64,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,8,32538.2,364.46,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,9,32379.1,362.73,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,10,32553.7,362.81,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,11,32507.3,363.22,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,12,32512.3,363.55,4105,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,13,32466.2,356.03,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,14,32442.9,363.55,4105,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,0,28041.8,354.43,4107,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,1,30537.0,363.84,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,2,32422.6,364.73,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,3,32386.8,364.51,4106,64,,
