runtime,weights,pp,metric,mean,sd,median,n
LM Studio,GGUF,1024,pp,220.8336258297747,2.4740771633602963,221.81862659573133,20
LM Studio,GGUF,1024,tg,24.287033917628783,2.3389133210760473,24.270468968148457,10
LM Studio,GGUF,2048,pp,228.99164192407324,1.5408948889402245,229.28850988752262,20
LM Studio,GGUF,2048,tg,24.173819122467155,3.0649424604733575,23.445555743845347,10
LM Studio,GGUF,4096,pp,231.39962834685852,0.750076512497437,231.59450308299273,20
LM Studio,GGUF,4096,tg,23.775890298624514,2.0601342073549644,23.750672234970622,10
LM Studio,GGUF,8192,pp,228.8996965976322,0.4397063626856319,229.03359864808488,20
LM Studio,GGUF,8192,tg,24.273743812958944,2.0964584697695945,23.767370654583413,10
LM Studio,MLX,1024,pp,245.45470057491247,0.8913409753858111,245.7536845195365,20
LM Studio,MLX,1024,tg,30.06843917372579,0.1869487221807168,30.061235270969274,10
LM Studio,MLX,2048,pp,250.0407816491229,0.2432193588015453,250.05804072500854,20
LM Studio,MLX,2048,tg,29.871962706385727,0.17635002783157674,29.871806356316775,10
LM Studio,MLX,4096,pp,250.9746920198473,0.09726539164510936,250.9818920871455,20
LM Studio,MLX,4096,tg,29.17110643082189,0.014910567276352643,29.166288993452223,10
LM Studio,MLX,8192,pp,248.5214794805901,0.053583448610327405,248.51877884770607,20
LM Studio,MLX,8192,tg,28.530030485136603,0.11918502434708358,28.52718328523004,10
Ollama,GGUF,1024,pp,225.98607360419078,0.2510465727509483,226.01931930164017,20
Ollama,GGUF,1024,tg,23.688543415320552,0.7832262276499408,23.87225235298016,10
Ollama,GGUF,2048,pp,233.4883661962052,0.21397000051363904,233.51714572701508,20
Ollama,GGUF,2048,tg,24.012509459912703,1.3106382390425664,23.878672604692728,10
Ollama,GGUF,4096,pp,235.62152465148833,0.16731540227069291,235.61194572234257,20
Ollama,GGUF,4096,tg,23.844720361510305,1.6610697721195582,23.9561189653977,10
Ollama,GGUF,8192,pp,232.83329960651477,0.16081875736514425,232.84148849892023,20
Ollama,GGUF,8192,tg,23.757707970729548,1.849209698969338,23.691386445504,10
Ollama,MLX,1024,pp,248.0390514076458,0.6348648134819497,248.14312634144704,20
Ollama,MLX,1024,tg,58.32316315828698,3.871304009312985,56.95730724383167,10
Ollama,MLX,2048,pp,250.78730312319712,0.3663710630077368,250.76230344024188,20
Ollama,MLX,2048,tg,55.491905914342944,4.6977766100818785,56.18965409589742,10
Ollama,MLX,4096,pp,250.18549595906583,0.17433726683846473,250.18452035385897,20
Ollama,MLX,4096,tg,55.244879225934525,4.48801243809903,54.97235769154308,10
Ollama,MLX,8192,pp,246.63248342516937,0.13722510596111248,246.6523083606172,20
Ollama,MLX,8192,tg,52.34448241428355,4.3790170132880135,51.78353002643358,10
