ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-12T17:48:24Z,69,68,31,3922,99,1600,1702,0.61
2026-09-12T17:48:26Z,68,68,31,3947,100,1600,2362,0.64
2026-09-12T17:48:28Z,65,68,31,3947,99,1470,2425,0.64
2026-09-12T17:48:31Z,64,68,31,3947,100,1080,2425,0.59
2026-09-12T17:48:33Z,65,68,31,3947,100,1040,2424,0.59
2026-09-12T17:48:35Z,63,69,31,3947,100,1040,2424,0.59
2026-09-12T17:48:37Z,66,69,31,3947,99,1321,2425,0.54
2026-09-12T17:48:39Z,58,68,31,3964,0,200,2425,0.54
2026-09-12T17:48:41Z,57,66,31,3964,0,200,2424,0.58
2026-09-12T17:48:43Z,56,65,31,3964,0,200,2425,0.58
2026-09-12T17:48:45Z,67,65,31,3947,99,1584,2391,0.58
2026-09-12T17:48:47Z,63,66,31,3626,100,1162,2425,0.69
2026-09-12T17:48:49Z,62,67,31,3571,99,1040,2424,0.69
2026-09-12T17:48:51Z,63,69,31,3591,99,1040,2424,0.64
2026-09-12T17:48:53Z,69,68,31,3591,100,1600,1399,0.64
2026-09-12T17:48:55Z,71,68,31,3585,99,1420,1400,0.58
2026-09-12T17:48:57Z,63,69,31,3591,100,1040,2424,0.58
2026-09-12T17:48:59Z,63,70,31,3585,99,1109,2424,0.58
2026-09-12T17:49:01Z,67,70,31,3591,99,1290,2425,0.54
2026-09-12T17:49:03Z,72,70,31,3826,99,1497,1702,0.54
2026-09-12T17:49:05Z,72,70,31,3826,100,1396,1702,0.58
2026-09-12T17:49:08Z,64,71,31,3989,0,200,2424,0.58
2026-09-12T17:49:10Z,65,71,31,4032,99,1073,2425,0.58
2026-09-12T17:49:12Z,73,71,31,4014,99,1381,2424,0.61
2026-09-12T17:49:14Z,74,71,31,4032,99,1580,1702,0.61
2026-09-12T17:49:16Z,68,71,31,4006,99,1377,2424,0.64
2026-09-12T17:49:18Z,65,72,31,4032,37,1040,2424,0.64
2026-09-12T17:49:20Z,66,72,31,4014,100,1284,2424,0.64
2026-09-12T17:49:22Z,74,72,31,4213,99,1351,1702,0.67
2026-09-12T17:49:24Z,60,71,31,4213,0,200,2424,0.67
2026-09-12T17:49:26Z,58,69,31,4213,0,200,2425,0.62
2026-09-12T17:49:28Z,57,67,31,4242,0,200,2426,0.62
2026-09-12T17:49:30Z,55,66,31,4148,0,200,2426,0.57
2026-09-12T17:49:32Z,55,64,31,4102,0,200,2424,0.57
2026-09-12T17:49:34Z,59,64,31,4076,50,1040,2424,0.57
2026-09-12T17:49:36Z,66,63,31,3504,99,1600,2425,0.60
2026-09-12T17:49:38Z,59,64,31,3390,99,1040,2424,0.60
2026-09-12T17:49:40Z,60,64,31,3378,99,1040,2425,0.87
2026-09-12T17:49:42Z,61,64,31,3378,50,1040,2424,0.87
2026-09-12T17:49:44Z,68,64,31,3378,100,1600,2424,0.87
2026-09-12T17:49:47Z,58,65,31,3378,100,1040,2424,0.80
2026-09-12T17:49:49Z,61,65,31,3378,99,1040,2424,0.80
2026-09-12T17:49:51Z,63,65,31,3378,74,1040,2426,0.74
2026-09-12T17:49:53Z,69,65,31,3366,100,1600,2425,0.74
2026-09-12T17:49:55Z,60,66,31,3366,100,1040,2424,0.74
2026-09-12T17:49:57Z,62,66,31,3378,99,1040,2424,0.68
2026-09-12T17:49:59Z,63,67,31,3366,99,1040,2424,0.68
2026-09-12T17:50:01Z,65,66,31,3378,100,1600,2389,0.95
2026-09-12T17:50:03Z,62,66,31,3378,99,1040,2425,0.95
2026-09-12T17:50:05Z,62,67,31,3366,99,1040,2424,0.95
2026-09-12T17:50:07Z,64,67,31,3366,87,1040,2424,0.95
2026-09-12T17:50:09Z,69,67,31,3360,100,1600,2424,0.95
2026-09-12T17:50:11Z,63,67,31,3360,100,1326,2426,1.19
