server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,12,711.0,60.6,2058,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,13,711.9,60.59,2058,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,2048,64,14,710.6,60.3,2058,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,0,671.0,60.31,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,1,681.6,60.53,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,2,680.8,60.45,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,3,680.2,60.57,4107,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,4,680.7,61.25,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,5,679.1,62.42,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,6,679.3,61.74,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,7,678.8,62.13,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,8,681.0,62.34,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,9,681.5,61.1,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,10,679.8,61.43,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,11,679.9,62.04,4108,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,12,680.5,61.72,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,13,677.8,62.32,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,32,14,679.3,61.62,4106,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,0,673.2,56.6,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,1,680.7,60.43,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,2,680.9,56.57,4107,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,3,680.3,56.31,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,4,679.5,56.88,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,5,679.1,56.89,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,6,679.4,58.93,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,7,680.4,62.94,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,8,679.9,60.21,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,9,680.5,59.82,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,10,679.3,58.7,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,11,680.1,60.67,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,12,679.8,59.83,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,13,681.8,61.68,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,14,679.8,61.42,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,0,585.2,54.61,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,1,590.8,55.23,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,2,588.2,60.45,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,3,589.0,59.07,8203,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,4,589.3,59.17,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,5,588.2,60.49,8204,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,6,589.4,61.27,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,7,589.6,61.74,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,8,590.2,61.39,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,9,588.7,62.89,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,10,589.2,61.78,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,11,589.9,61.65,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,12,589.3,60.38,8201,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,13,590.4,61.54,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,14,590.2,60.15,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,0,585.5,53.13,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,1,588.6,53.71,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,2,588.6,60.73,8203,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,3,588.8,57.44,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,4,587.6,61.64,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,5,588.2,57.99,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,6,589.3,57.59,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,7,588.7,57.71,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,8,589.7,57.72,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,9,588.9,57.13,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,10,590.2,57.63,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,11,588.9,57.79,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,12,588.7,59.59,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,13,589.3,57.77,8202,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,64,14,589.9,58.0,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,0,802.8,61.38,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,1,869.1,62.79,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,2,871.3,67.01,1033,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,3,884.1,68.33,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,4,885.6,66.34,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,5,881.8,67.24,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,6,882.1,67.63,1033,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,7,883.1,66.75,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,8,881.4,67.35,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,9,883.0,66.02,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,10,883.2,68.66,1034,32,,
